{-2.89418e-06,1.02111e-06} {-6.28619e-06,2.07124e-06} {-6.5046e-06,2.82244e-06} {-5.46775e-06,3.29671e-06} {-3.6832e-06,3.57817e-06} {-1.48294e-06,3.74423e-06} {9.42038e-07,3.8477e-06} {3.48984e-06,3.91946e-06} {6.10714e-06,3.97515e-06} {8.76269e-06,4.02069e-06} {1.14318e-05,4.05667e-06} {1.40885e-05,4.08131e-06} {1.67021e-05,4.09231e-06} {1.9238e-05,4.08783e-06} {2.16589e-05,4.06706e-06} {2.3927e-05,4.03024e-06} {2.60067e-05,3.97859e-06} {2.78658e-05,3.91404e-06} {2.94775e-05,3.83901e-06} {3.08211e-05,3.75622e-06} {3.18821e-05,3.6684e-06} {3.26527e-05,3.57825e-06} {3.31312e-05,3.48825e-06} {3.33216e-05,3.4007e-06} {3.32333e-05,3.31749e-06} {3.28801e-05,3.24023e-06} {3.22794e-05,3.17028e-06} {3.14514e-05,3.10843e-06} {3.04189e-05,3.05523e-06} {2.92053e-05,3.01087e-06} {2.78352e-05,2.97514e-06} {2.63325e-05,2.94761e-06} {2.47205e-05,2.92771e-06} {2.30217e-05,2.91464e-06} {2.12576e-05,2.90786e-06} {1.94494e-05,2.90722e-06} {1.76189e-05,2.91322e-06} {1.57901e-05,2.92734e-06} {1.39918e-05,2.95213e-06} {1.22591e-05,2.9914e-06} {1.06353e-05,3.04965e-06} {9.17249e-06,3.13111e-06} {7.92842e-06,3.2377e-06} {6.95776e-06,3.36562e-06} {6.29387e-06,3.49951e-06} {5.91607e-06,3.6039e-06} {5.69512e-06,3.61154e-06} {5.31797e-06,3.41457e-06} {4.22983e-06,2.88738e-06} {1.71071e-06,1.9914e-06} 
{-2.71695e-06,3.28828e-06} {-5.52411e-06,6.65227e-06} {-4.67137e-06,9.141e-06} {-2.08629e-06,1.07779e-05} {1.63644e-06,1.17937e-05} {6.06474e-06,1.2418e-05} {1.09223e-05,1.28163e-05} {1.60423e-05,1.30906e-05} {2.13228e-05,1.32941e-05} {2.66936e-05,1.34483e-05} {3.20947e-05,1.35557e-05} {3.7464e-05,1.36101e-05} {4.27329e-05,1.36033e-05} {4.78257e-05,1.35289e-05} {5.26629e-05,1.33839e-05} {5.71649e-05,1.31698e-05} {6.12559e-05,1.28915e-05} {6.48679e-05,1.25574e-05} {6.79431e-05,1.21777e-05} {7.04363e-05,1.17637e-05} {7.23154e-05,1.13276e-05} {7.35622e-05,1.0881e-05} {7.41718e-05,1.04349e-05} {7.4152e-05,9.99969e-06} {7.3522e-05,9.58411e-06} {7.23112e-05,9.19571e-06} {7.05575e-05,8.84065e-06} {6.8306e-05,8.52335e-06} {6.56064e-05,8.24679e-06} {6.25127e-05,8.01238e-06} {5.90802e-05,7.82018e-06} {5.53649e-05,7.66907e-06} {5.14226e-05,7.55714e-06} {4.73076e-05,7.48223e-06} {4.30734e-05,7.44265e-06} {3.87733e-05,7.43814e-06} {3.44622e-05,7.47099e-06} {3.01988e-05,7.54663e-06} {2.60491e-05,7.67448e-06} {2.2089e-05,7.86747e-06} {1.84055e-05,8.14035e-06} {1.50959e-05,8.50566e-06} {1.22608e-05,8.96637e-06} {9.98896e-06,9.50393e-06} {8.32979e-06,1.00605e-05} {7.25026e-06,1.05136e-05} {6.57281e-06,1.06446e-05} {5.90249e-06,1.01186e-05} {4.58823e-06,8.55755e-06} {1.83525e-06,5.85557e-06} 
{-2.4163e-06,6.0948e-06} {-4.41043e-06,1.22033e-05} {-2.34254e-06,1.68499e-05} {1.79513e-06,2.00143e-05} {7.32667e-06,2.20533e-05} {1.37525e-05,2.33498e-05} {2.07439e-05,2.41942e-05} {2.8093e-05,2.47725e-05} {3.5664e-05,2.51856e-05} {4.3357e-05,2.54753e-05} {5.10833e-05,2.56471e-05} {5.8751e-05,2.56891e-05} {6.62593e-05,2.55847e-05} {7.34993e-05,2.5321e-05} {8.03566e-05,2.48926e-05} {8.67171e-05,2.43029e-05} {9.24723e-05,2.35637e-05} {9.75246e-05,2.26938e-05} {0.000101791,2.17165e-05} {0.000105205,2.06585e-05} {0.000107721,1.95477e-05} {0.000109311,1.84116e-05} {0.000109968,1.72767e-05} {0.000109703,1.61676e-05} {0.000108543,1.51057e-05} {0.000106531,1.41099e-05} {0.000103722,1.31951e-05} {0.000100183,1.23732e-05} {9.59876e-05,1.16521e-05} {9.1215e-05,1.10366e-05} {8.59483e-05,1.05278e-05} {8.0272e-05,1.01247e-05} {7.42701e-05,9.82411e-06} {6.8026e-05,9.62253e-06} {6.1622e-05,9.51732e-06} {5.51407e-05,9.50872e-06} {4.86666e-05,9.60179e-06} {4.22895e-05,9.80793e-06} {3.61078e-05,1.01458e-05} {3.02315e-05,1.064e-05} {2.47832e-05,1.13171e-05} {1.98954e-05,1.21966e-05} {1.57009e-05,1.32768e-05} {1.23135e-05,1.45117e-05} {9.79535e-06,1.57804e-05} {8.10758e-06,1.68461e-05} {7.04383e-06,1.73106e-05} {6.15634e-06,1.65907e-05} {4.72377e-06,1.40522e-05} {1.88128e-06,9.53781e-06} 
{-2.06892e-06,9.54503e-06} {-3.17586e-06,1.88211e-05} {1.22676e-07,2.59535e-05} {5.74276e-06,3.08918e-05} {1.29251e-05,3.41382e-05} {2.11162e-05,3.62424e-05} {2.9952e-05,3.76289e-05} {3.91983e-05,3.85747e-05} {4.86974e-05,3.92327e-05} {5.83282e-05,3.96664e-05} {6.79798e-05,3.9884e-05} {7.75372e-05,3.98663e-05} {8.68751e-05,3.95867e-05} {9.58579e-05,3.90245e-05} {0.000104345,3.81714e-05} {0.000112194,3.70337e-05} {0.000119273,3.56322e-05} {0.00012546,3.39993e-05} {0.000130653,3.21761e-05} {0.000134769,3.02092e-05} {0.000137751,2.81478e-05} {0.000139565,2.60412e-05} {0.000140202,2.39367e-05} {0.000139674,2.18783e-05} {0.000138017,1.99053e-05} {0.000135284,1.80518e-05} {0.000131546,1.63458e-05} {0.000126885,1.48092e-05} {0.000121396,1.34577e-05} {0.00011518,1.23007e-05} {0.000108343,1.1342e-05} {0.000100994,1.05812e-05} {9.32413e-05,1.00143e-05} {8.51932e-05,9.63656e-06} {7.69571e-05,9.4446e-06} {6.86406e-05,9.43965e-06} {6.0354e-05,9.63019e-06} {5.2213e-05,1.00347e-05} {4.43427e-05,1.06823e-05} {3.68801e-05,1.161e-05} {2.99747e-05,1.28562e-05} {2.37849e-05,1.44455e-05} {1.84664e-05,1.63663e-05} {1.41507e-05,1.85361e-05} {1.09091e-05,2.07572e-05} {8.70099e-06,2.26616e-05} {7.30423e-06,2.3652e-05} {6.23922e-06,2.28805e-05} {4.73776e-06,1.94443e-05} {1.88174e-06,1.31351e-05} 
{-1.74296e-06,1.36035e-05} {-2.02771e-06,2.64432e-05} {2.396e-06,3.63334e-05} {9.35583e-06,4.32245e-05} {1.80091e-05,4.77973e-05} {2.77507e-05,5.07898e-05} {3.81853e-05,5.27719e-05} {4.90575e-05,5.41163e-05} {6.01921e-05,5.50298e-05} {7.14513e-05,5.55983e-05} {8.27073e-05,5.58321e-05} {9.38269e-05,5.57032e-05} {0.000104665,5.51738e-05} {0.000115067,5.42145e-05} {0.000124871,5.28139e-05} {0.000133915,5.09821e-05} {0.000142048,4.87505e-05} {0.00014913,4.61675e-05} {0.000155045,4.32953e-05} {0.000159699,4.02043e-05} {0.000163025,3.6969e-05} {0.000164985,3.36646e-05} {0.000165569,3.03638e-05} {0.000164791,2.71341e-05} {0.000162693,2.40364e-05} {0.000159337,2.11237e-05} {0.000154806,1.844e-05} {0.000149197,1.602e-05} {0.000142621,1.38887e-05} {0.000135196,1.20622e-05} {0.000127049,1.0548e-05} {0.000118308,9.3467e-06} {0.000109102,8.45429e-06} {9.95601e-05,7.86484e-06} {8.98105e-05,7.57447e-06} {7.9982e-05,7.58541e-06} {7.02058e-05,7.91007e-06} {6.06187e-05,8.57423e-06} {5.13666e-05,9.61738e-06} {4.2607e-05,1.10892e-05} {3.4509e-05,1.30383e-05} {2.72488e-05,1.54924e-05} {2.09975e-05,1.84258e-05} {1.58977e-05,2.17134e-05} {1.20268e-05,2.50724e-05} {9.34378e-06,2.79931e-05} {7.61792e-06,2.96685e-05} {6.35266e-06,2.89739e-05} {4.75494e-06,2.47285e-05} {1.87776e-06,1.66706e-05} 
{-1.46488e-06,1.81503e-05} {-1.05244e-06,3.49074e-05} {4.32987e-06,4.7796e-05} {1.24442e-05,5.67908e-05} {2.23719e-05,6.27828e-05} {3.34574e-05,6.67199e-05} {4.52737e-05,6.93287e-05} {5.75439e-05,7.10839e-05} {7.00756e-05,7.22483e-05} {8.27159e-05,7.2931e-05} {9.53221e-05,7.31437e-05} {0.000107746,7.28494e-05} {0.000119828,7.19985e-05} {0.000131396,7.05526e-05} {0.000142274,6.84973e-05} {0.000152287,6.58474e-05} {0.000161267,6.26458e-05} {0.000169065,5.89595e-05} {0.000175551,5.48733e-05} {0.000180625,5.04846e-05} {0.000184214,4.58964e-05} {0.000186277,4.1213e-05} {0.000186802,3.65353e-05} {0.000185807,3.19579e-05} {0.000183339,2.7566e-05} {0.000179467,2.34344e-05} {0.000174283,1.96252e-05} {0.000167897,1.6188e-05} {0.000160433,1.31592e-05} {0.000152023,1.05624e-05} {0.000142809,8.40981e-06} {0.000132936,6.70408e-06} {0.00012255,5.44109e-06} {0.000111796,4.61417e-06} {0.00010082,4.21895e-06} {8.97674e-05,4.25866e-06} {7.87858e-05,4.74944e-06} {6.80283e-05,5.72397e-06} {5.76562e-05,7.23182e-06} {4.78417e-05,9.33398e-06} {3.87672e-05,1.20882e-05} {3.06204e-05,1.55228e-05} {2.35814e-05,1.95945e-05} {1.77991e-05,2.41318e-05} {1.33542e-05,2.87619e-05} {1.02052e-05,3.28285e-05} {8.11894e-06,3.53097e-05} {6.59419e-06,3.47996e-05} {4.83371e-06,2.98376e-05} {1.88847e-06,2.01091e-05} 
{-1.23317e-06,2.3047e-05} {-2.52178e-07,4.40211e-05} {5.90951e-06,6.01213e-05} {1.49793e-05,7.13589e-05} {2.59767e-05,7.88559e-05} {3.82005e-05,8.37875e-05} {5.11922e-05,8.70478e-05} {6.46519e-05,8.92187e-05} {7.83695e-05,9.06228e-05} {9.21766e-05,9.13933e-05} {0.000105917,9.15445e-05} {0.000119428,9.10305e-05} {0.000132539,8.97902e-05} {0.000145066,8.77764e-05} {0.000156821,8.49726e-05} {0.000167618,8.13987e-05} {0.00017728,7.71105e-05} {0.00018565,7.21945e-05} {0.000192592,6.67608e-05} {0.000197998,6.0935e-05} {0.000201793,5.48511e-05} {0.000203934,4.86448e-05} {0.00020441,4.24476e-05} {0.000203242,3.63833e-05} {0.000200479,3.05639e-05} {0.000196198,2.50877e-05} {0.000190498,2.0037e-05} {0.000183498,1.54779e-05} {0.000175331,1.14591e-05} {0.000166144,8.01307e-06} {0.000156088,5.15744e-06} {0.000145322,2.89718e-06} {0.000134004,1.22874e-06} {0.000122293,1.44711e-07} {0.000110348,-3.59946e-07} {9.83273e-05,-2.81154e-07} {8.63904e-05,4.00393e-07} {7.47022e-05,1.72367e-06} {6.3435e-05,3.74735e-06} {5.27705e-05,6.54235e-06} {4.28989e-05,1.01739e-05} {3.40143e-05,1.46685e-05} {2.63011e-05,1.99636e-05} {1.99108e-05,2.58381e-05} {1.4925e-05,3.18275e-05} {1.13035e-05,3.71276e-05} {8.81549e-06,4.05016e-05} {6.96706e-06,4.02658e-05} {4.976e-06,3.4685e-05} {1.91489e-06,2.33963e-05} 
{-1.03684e-06,2.81703e-05} {4.02727e-07,5.35988e-05} {7.17552e-06,7.30917e-05} {1.70056e-05,8.66986e-05} {2.88678e-05,9.57837e-05} {4.20237e-05,0.00010176} {5.59858e-05,0.000105696} {7.04316e-05,0.000108288} {8.51325e-05,0.000109919} {9.99044e-05,0.00011075} {0.000114578,0.0001108} {0.000128979,0.000110014} {0.000142925,0.000108322} {0.000156225,0.000105668} {0.000168681,0.000102034} {0.000180101,9.74464e-05} {0.000190302,9.19748e-05} {0.000199121,8.57267e-05} {0.000206419,7.88382e-05} {0.000212084,7.1465e-05} {0.000216041,6.37735e-05} {0.000218246,5.5932e-05} {0.000218688,4.81048e-05} {0.00021739,4.04462e-05} {0.000214407,3.30967e-05} {0.000209818,2.61793e-05} {0.00020373,1.97981e-05} {0.000196267,1.40364e-05} {0.000187572,8.95652e-06} {0.000177798,4.60051e-06} {0.000167107,9.91789e-07} {0.000155665,-1.86168e-06} {0.000143642,-3.96295e-06} {0.000131206,-5.32008e-06} {0.000118525,-5.93887e-06} {0.000105765,-5.81497e-06} {9.30966e-05,-4.92639e-06} {8.06909e-05,-3.22883e-06} {6.8727e-05,-6.55797e-07} {5.73916e-05,2.8722e-06} {4.6879e-05,7.42609e-06} {3.73853e-05,1.30289e-05} {2.90955e-05,1.95968e-05} {2.21611e-05,2.68588e-05} {1.66641e-05,3.42583e-05} {1.25669e-05,4.08453e-05} {9.64663e-06,4.51732e-05} {7.42738e-06,4.5289e-05} {5.1576e-06,3.91944e-05} {1.94995e-06,2.64848e-05} 
{-8.64683e-07,3.34199e-05} {9.45111e-07,6.34756e-05} {8.17852e-06,8.65034e-05} {1.85848e-05,0.000102588} {3.11114e-05,0.000113337} {4.49931e-05,0.000120407} {5.97185e-05,0.000125045} {7.49445e-05,0.000128063} {9.04247e-05,0.000129911} {0.00010596,0.000130778} {0.000121368,0.000130689} {0.000136465,0.000129585} {0.00015106,0.000127385} {0.000164954,0.000124028} {0.000177945,0.000119495} {0.000189836,0.00011382} {0.000200441,0.000107087} {0.000209595,9.94257e-05} {0.000217155,9.09994e-05} {0.000223013,8.19948e-05} {0.00022709,7.26111e-05} {0.000229344,6.3051e-05} {0.000229765,5.3512e-05} {0.00022838,4.41802e-05} {0.000225244,3.52251e-05} {0.000220442,2.6796e-05} {0.000214083,1.9019e-05} {0.000206298,1.19957e-05} {0.000197233,5.80258e-06} {0.000187049,4.91694e-07} {0.000175912,-3.90721e-06} {0.000163996,-7.38304e-06} {0.000151476,-9.93837e-06} {0.000138527,-1.15819e-05} {0.000125322,-1.23205e-05} {0.000112035,-1.21499e-05} {9.88387e-05,-1.10464e-05} {8.59101e-05,-8.96123e-06} {7.34308e-05,-5.82144e-06} {6.15893e-05,-1.54033e-06} {5.05799e-05,3.95711e-06} {4.05977e-05,1.06892e-05} {3.1826e-05,1.85501e-05} {2.44145e-05,2.72191e-05} {1.84457e-05,3.60498e-05} {1.38864e-05,4.39509e-05} {1.05267e-05,4.92743e-05} {7.9169e-06,4.98105e-05} {5.34805e-06,4.33132e-05} {1.98509e-06,2.93435e-05} 
{-7.08341e-07,3.87152e-05} {1.40089e-06,7.35069e-05} {8.96105e-06,0.000100168} {1.97712e-05,0.000118813} {3.27676e-05,0.000131291} {4.71696e-05,0.000139498} {6.24482e-05,0.000144863} {7.82433e-05,0.000148314} {9.42931e-05,0.000150371} {0.000110385,0.000151253} {0.000126325,0.000150993} {0.000141922,0.000149529} {0.000156976,0.000146774} {0.000171286,0.000142661} {0.000184645,0.000137174} {0.000196855,0.000130353} {0.00020773,0.0001223} {0.000217104,0.000113166} {0.000224837,0.000103142} {0.000230819,9.24467e-05} {0.000234973,8.13126e-05} {0.000237259,6.99768e-05} {0.00023767,5.86709e-05} {0.000236232,4.76132e-05} {0.000233004,3.70027e-05} {0.000228074,2.70152e-05} {0.000221552,1.77994e-05} {0.000213573,9.4756e-06} {0.000204285,2.13464e-06} {0.000193853,-4.16108e-06} {0.000182446,-9.37532e-06} {0.000170242,-1.34939e-05} {0.000157419,-1.65187e-05} {0.000144154,-1.84594e-05} {0.000130625,-1.93241e-05} {0.000117006,-1.91094e-05} {0.000103474,-1.77905e-05} {9.02063e-05,-1.53152e-05} {7.73838e-05,-1.16051e-05} {6.5194e-05,-6.5679e-06} {5.38287e-05,-1.25589e-07} {4.34799e-05,7.73453e-06} {3.4327e-05,1.68848e-05} {2.65173e-05,2.69557e-05} {2.01335e-05,3.72153e-05} {1.51489e-05,4.64373e-05} {1.13704e-05,5.27829e-05} {8.38044e-06,5.38015e-05} {5.5199e-06,4.70154e-05} {2.01289e-06,3.19574e-05} 
{-5.62394e-07,4.39898e-05} {1.78756e-06,8.35641e-05} {9.55318e-06,0.000113913} {2.06048e-05,0.000135171} {3.38822e-05,0.000149423} {4.85997e-05,0.000158802} {6.42185e-05,0.000164915} {8.03664e-05,0.000168806} {9.67692e-05,0.000171064} {0.000113203,0.000171943} {0.000129466,0.000171485} {0.000145359,0.000169629} {0.000160679,0.00016628} {0.00017522,0.000161372} {0.000188778,0.000154888} {0.000201153,0.000146881} {0.000212163,0.000137467} {0.000221641,0.000126822} {0.000229452,0.000115163} {0.000235487,0.000102741} {0.000239672,8.98235e-05} {0.00024197,7.66808e-05} {0.000242373,6.35786e-05} {0.000240912,5.07673e-05} {0.000237646,3.84757e-05} {0.000232664,2.6906e-05} {0.000226078,1.62297e-05} {0.000218022,6.58551e-06} {0.000208648,-1.92106e-06} {0.000198119,-9.21733e-06} {0.000186607,-1.52606e-05} {0.000174289,-2.00335e-05} {0.000161343,-2.35373e-05} {0.000147949,-2.57829e-05} {0.000134284,-2.67803e-05} {0.000120521,-2.6527e-05} {0.000106837,-2.4998e-05} {9.34068e-05,-2.21387e-05} {8.04091e-05,-1.78664e-05} {6.80278e-05,-1.20839e-05} {5.645e-05,-4.71162e-06} {4.58624e-05,4.25739e-06} {3.64397e-05,1.4674e-05} {2.83258e-05,2.61229e-05} {2.1604e-05,3.77905e-05} {1.62553e-05,4.83243e-05} {1.21058e-05,5.57067e-05} {8.77328e-06,5.72619e-05} {5.65192e-06,5.02984e-05} {2.02789e-06,3.4325e-05} 
